"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dcn",0,2.71904694843529,0.861,0.11,0,"0","Dcn"
"Mgp",0,2.54682913517514,0.919,0.203,0,"0","Mgp"
"Col1a2",0,2.3813699527504,0.932,0.165,0,"0","Col1a2"
"Acta2",0,2.36696799053773,0.546,0.107,0,"0","Acta2"
"Lama2",0,2.14326472990279,0.902,0.175,0,"0","Lama2"
"Col1a1",0,2.04172036900871,0.813,0.071,0,"0","Col1a1"
"Sparcl1",0,2.0063013874866,0.894,0.127,0,"0","Sparcl1"
"Pdgfra",0,1.96008521312585,0.792,0.066,0,"0","Pdgfra"
"Rarres2",0,1.95482171996133,0.858,0.178,0,"0","Rarres2"
"Col3a1",0,1.94438623446659,0.859,0.22,0,"0","Col3a1"
"Tagln",0,1.93415256890762,0.383,0.085,0,"0","Tagln"
"Cxcl14",0,1.91012717302142,0.548,0.04,0,"0","Cxcl14"
"Cfh",0,1.87977130863271,0.966,0.466,0,"0","Cfh"
"Bicc1",0,1.83200113521932,0.884,0.206,0,"0","Bicc1"
"Ogn",0,1.82901207698173,0.709,0.095,0,"0","Ogn"
"Kcnk2",0,1.82199664269686,0.684,0.14,0,"0","Kcnk2"
"Mdk",0,1.80218009786716,0.816,0.077,0,"0","Mdk"
"Igfbp6",0,1.79898657872822,0.836,0.147,0,"0","Igfbp6"
"Tpm2",0,1.77954255948939,0.698,0.133,0,"0","Tpm2"
"Itih5",0,1.77945069457708,0.912,0.277,0,"0","Itih5"
"Lum",0,1.76413310101809,0.628,0.039,0,"0","Lum"
"Bgn",0,1.73931838348277,0.82,0.117,0,"0","Bgn"
"Cped1",0,1.738189999486,0.977,0.434,0,"0","Cped1"
"Tpm1",0,1.65062443172663,0.893,0.492,0,"0","Tpm1"
"Rad51b",0,1.63658159647225,0.801,0.38,0,"0","Rad51b"
"Pdzrn3",0,1.63525314682741,0.756,0.098,0,"0","Pdzrn3"
"Igfbp7",0,1.61717713716083,0.957,0.333,0,"0","Igfbp7"
"Adgrl3",0,1.57952426131837,0.636,0.089,0,"0","Adgrl3"
"Serpinf1",0,1.55140251923825,0.726,0.12,0,"0","Serpinf1"
"Nr2f2",0,1.54437406723536,0.887,0.391,0,"0","Nr2f2"
"Nhsl2",0,1.51674041681003,0.688,0.113,0,"0","Nhsl2"
"Rbp1",0,1.51165272414393,0.88,0.173,0,"0","Rbp1"
"Cdh11",0,1.50986444577818,0.748,0.118,0,"0","Cdh11"
"Dmd",0,1.48930089186055,0.679,0.326,0,"0","Dmd"
"Kcnt2",0,1.46769861227608,0.817,0.26,0,"0","Kcnt2"
"Slit3",0,1.46701152583815,0.594,0.094,0,"0","Slit3"
"Myl9",0,1.46109650046799,0.624,0.158,0,"0","Myl9"
"Csrp1",0,1.44284967182673,0.758,0.205,0,"0","Csrp1"
"Cygb",0,1.43562247084537,0.701,0.124,0,"0","Cygb"
"Dlc1",0,1.41455891901771,0.845,0.359,0,"0","Dlc1"
"Tmem100",0,1.3892610081363,0.561,0.063,0,"0","Tmem100"
"Dpp6",0,1.37121765179393,0.482,0.086,0,"0","Dpp6"
"Arhgap24",0,1.37120892143416,0.593,0.085,0,"0","Arhgap24"
"Dach1",0,1.36431718696621,0.706,0.287,0,"0","Dach1"
"Pmepa1",0,1.35675847749451,0.736,0.241,0,"0","Pmepa1"
"Ssbp2",0,1.34453199427742,0.82,0.272,0,"0","Ssbp2"
"Fbxl7",0,1.33807365043662,0.847,0.363,0,"0","Fbxl7"
"Gm30382",0,1.3225287347663,0.448,0.084,0,"0","Gm30382"
"Mylk",0,1.30545666088927,0.719,0.193,0,"0","Mylk"
"Col6a3",0,1.25690976321366,0.734,0.119,0,"0","Col6a3"
"Lhfp",0,1.24715822628557,0.667,0.089,0,"0","Lhfp"
"Zeb1",0,1.22300380916119,0.891,0.477,0,"0","Zeb1"
"Ptprk",0,1.21565877837221,0.785,0.338,0,"0","Ptprk"
"Cald1",0,1.19935267942751,0.937,0.396,0,"0","Cald1"
"Sfrp1",0,1.19849177989021,0.455,0.075,0,"0","Sfrp1"
"Rbms3",0,1.1912464447126,0.889,0.329,0,"0","Rbms3"
"Palld",0,1.18872329938048,0.696,0.148,0,"0","Palld"
"C1qtnf7",0,1.18677824092159,0.652,0.146,0,"0","C1qtnf7"
"Arhgap6",0,1.18156731316768,0.776,0.295,0,"0","Arhgap6"
"Ptch1",0,1.17903283018591,0.65,0.304,0,"0","Ptch1"
"Matn2",0,1.17779223503415,0.639,0.102,0,"0","Matn2"
"Cacnb2",0,1.17650807626617,0.79,0.258,0,"0","Cacnb2"
"Gsn",0,1.16985218683378,0.678,0.223,0,"0","Gsn"
"Mfap4",0,1.15331397682674,0.47,0.015,0,"0","Mfap4"
"Nid1",0,1.14849141416332,0.679,0.095,0,"0","Nid1"
"Pard3b",0,1.1306616592598,0.841,0.385,0,"0","Pard3b"
"Egfr",0,1.11813319379169,0.683,0.289,0,"0","Egfr"
"Arhgap42",0,1.11451403621499,0.803,0.362,0,"0","Arhgap42"
"Fbn1",0,1.1083994867801,0.676,0.163,0,"0","Fbn1"
"Col6a1",0,1.10716851927308,0.724,0.226,0,"0","Col6a1"
"Ror2",0,1.10704344755644,0.599,0.067,0,"0","Ror2"
"Serpinh1",0,1.10697188216312,0.883,0.498,0,"0","Serpinh1"
"Egflam",0,1.10187042033338,0.624,0.097,0,"0","Egflam"
"Gpc3",0,1.0955585779072,0.522,0.085,0,"0","Gpc3"
"Csmd1",0,1.08514124863892,0.823,0.386,0,"0","Csmd1"
"Tshz2",0,1.08502206001916,0.965,0.548,0,"0","Tshz2"
"Hs6st2",0,1.08136274995136,0.499,0.178,0,"0","Hs6st2"
"Serping1",0,1.07446237438857,0.655,0.089,0,"0","Serping1"
"Ror1",0,1.07067657416288,0.707,0.227,0,"0","Ror1"
"Rcn3",0,1.06540323372684,0.807,0.321,0,"0","Rcn3"
"Ltbp4",0,1.03190646019421,0.712,0.101,0,"0","Ltbp4"
