"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Inhba",3.26689696358219e-178,2.31304253675959,0.768,0.405,6.62004000700294e-174,"0","Inhba"
"Ext1",1.86900723128464e-113,1.52898468921825,0.903,0.825,3.7873562534752e-109,"0","Ext1"
"Prkar2b",1.16399258285121e-105,1.41908595526279,0.832,0.767,2.35871456988968e-101,"0","Prkar2b"
"Inha",1.12097994829004e-102,1.056960198733,0.928,0.881,2.27155376721493e-98,"0","Inha"
"Gja1",1.29758262168202e-84,0.998255252676493,0.841,0.777,2.62942142457644e-80,"0","Gja1"
"Inhbb",1.9920717406191e-73,1.20438753018519,0.628,0.371,4.03673417519054e-69,"0","Inhbb"
"Gramd1b",1.03574857416426e-65,1.24093295397511,0.78,0.683,2.09884091068645e-61,"0","Gramd1b"
"Fndc3b",1.03300285325769e-60,0.920215803625857,0.856,0.816,2.09327698184138e-56,"0","Fndc3b"
"Hsd3b1",3.84027235576729e-59,1.0231759646728,0.695,0.548,7.78192790172683e-55,"0","Hsd3b1"
"Mctp1",1.19195681636527e-58,0.852402097444246,0.883,0.75,2.41538129268258e-54,"0","Mctp1"
"Fst",2.13492464006296e-58,1.11988599308733,0.727,0.604,4.32621129062359e-54,"0","Fst"
"Dock4",3.55362727645711e-50,1.04933389593266,0.867,0.75,7.20107031301269e-46,"0","Dock4"
"St3gal4",1.07585898192968e-46,0.898865500370002,0.758,0.709,2.1801206409823e-42,"0","St3gal4"
"Hsd17b1",4.91990573301215e-46,1.00064484385222,0.643,0.566,9.96969697737581e-42,"0","Hsd17b1"
"Kirrel3",4.47609540026866e-44,1.59336518200266,0.491,0.348,9.07035971910442e-40,"0","Kirrel3"
"Aff2",2.76450741618283e-43,1.03500671559631,0.806,0.776,5.60199782815288e-39,"0","Aff2"
"Gab2",1.73678500653361e-42,0.954310447187211,0.791,0.757,3.5194211372397e-38,"0","Gab2"
"Hcn1",1.46370571907996e-39,1.23995839086373,0.346,0.178,2.96605326914362e-35,"0","Hcn1"
"Foxo1",3.55505235405123e-39,0.671026275809918,0.878,0.768,7.2039580902494e-35,"0","Foxo1"
"Robo2",5.80908294941656e-39,1.32261969546026,0.49,0.337,1.17715256886977e-34,"0","Robo2"
"Jak1",7.07066198696113e-39,0.646517351428369,0.791,0.781,1.4327989450378e-34,"0","Jak1"
"Cyb5a",7.57002502842787e-37,0.648395514733757,0.8,0.804,1.53398987176062e-32,"0","Cyb5a"
"Htra1",1.88439891587116e-34,0.700628720938571,0.753,0.734,3.81854596312132e-30,"0","Htra1"
"Tox2",2.85397561276871e-34,1.01027250806508,0.632,0.565,5.78329618171451e-30,"0","Tox2"
"Nap1l5",1.95541751286998e-32,0.872863736341007,0.551,0.412,3.96245804807973e-28,"0","Nap1l5"
"Cyp19a1",3.57909440196204e-30,0.934950026838815,0.321,0.184,7.25267689613587e-26,"0","Cyp19a1"
"Fshr",2.89363575219732e-29,1.02298928955954,0.604,0.521,5.86366348825265e-25,"0","Fshr"
"Robo1",8.11627699474408e-29,1.16287955545778,0.584,0.535,1.64468237021494e-24,"0","Robo1"
"Serpine2",1.07082660650239e-28,0.511108716180056,0.855,0.813,2.16992303541643e-24,"0","Serpine2"
"Chst8",4.76336491426595e-27,0.808592330634826,0.648,0.596,9.65248266226852e-23,"0","Chst8"
"Slc26a7",6.77683784986336e-26,0.813359429465691,0.526,0.454,1.37325842189631e-21,"0","Slc26a7"
"Greb1l",6.97228910291928e-26,0.723984148707564,0.8,0.78,1.41286466381556e-21,"0","Greb1l"
"Greb1",1.13370256568812e-25,0.576087936945977,0.773,0.774,2.29733487911042e-21,"0","Greb1"
"Elovl6",5.17050503725452e-24,0.951546359561346,0.52,0.474,1.04775114074926e-19,"0","Elovl6"
"Mgarp",2.38193655415082e-23,0.587981601875034,0.476,0.387,4.82675623333122e-19,"0","Mgarp"
"Frmd5",9.45818210043521e-23,0.702593319047602,0.684,0.665,1.91660602083219e-18,"0","Frmd5"
"Map3k5",5.86006201452046e-22,0.712365609900702,0.67,0.682,1.18748296662243e-17,"0","Map3k5"
