"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1qb",9.13592316964851e-98,1.78159359510557,0.872,0.279,1.85130347109757e-93,"0","C1qb"
"C1qa",9.22286276188974e-89,1.88626848057616,0.809,0.268,1.86892091006934e-84,"0","C1qa"
"Apoe",1.14418055094838e-82,1.86643447887952,0.898,0.442,2.3185674684418e-78,"0","Apoe"
"C1qc",1.54905218986374e-76,1.76385172586163,0.757,0.263,3.13899935753988e-72,"0","C1qc"
"Ftl1",2.46870431063365e-66,1.46663696070112,0.966,0.962,5.00258241506804e-62,"0","Ftl1"
"Fth1",4.54898823858861e-64,1.35351473215014,0.961,0.981,9.21806976667596e-60,"0","Fth1"
"Cmss1",1.28725139247161e-61,1.32852544054043,0.963,0.968,2.60848622170447e-57,"0","Cmss1"
"Itm2b",8.00186555609061e-53,1.40384078620563,0.875,0.889,1.6214980362862e-48,"0","Itm2b"
"Lyz2",3.08231782870206e-50,0.945576944457996,0.822,0.396,6.24600884808185e-46,"0","Lyz2"
"Akr1cl",9.64336979823745e-25,2.04764772817649,0.475,0.315,1.95413245591484e-20,"0","Akr1cl"
"Ctsb",2.93703443129014e-24,1.10990875755569,0.71,0.553,5.95160657156634e-20,"0","Ctsb"
"Inha",7.53497369225744e-24,2.00912231505016,0.433,0.257,1.52688706899905e-19,"0","Inha"
"Sfr1",9.36115820822841e-23,0.326331017300842,0.175,0.557,1.8969450993154e-18,"0","Sfr1"
"Cd63",1.75609096647213e-22,1.25335119107709,0.499,0.298,3.55854273445912e-18,"0","Cd63"
"Cdk8",7.0878212042313e-22,1.42756871067355,0.713,0.858,1.43627608882543e-17,"0","Cdk8"
"Micos10",2.7080391173448e-21,0.291057888842369,0.185,0.569,5.48757046738749e-17,"0","Micos10"
"Marc2",4.44444620241007e-21,0.265169373577701,0.128,0.448,9.00622578456377e-17,"0","Marc2"
"Llph",5.49109900355142e-21,0.299241558234145,0.144,0.481,1.11271630207966e-16,"0","Llph"
"Pf4",7.42117010479997e-21,1.73180081807148,0.352,0.171,1.50382591003667e-16,"0","Pf4"
"Mapre1",8.79443500631469e-21,0.285327748063795,0.149,0.489,1.78210430967961e-16,"0","Mapre1"
"Tmem59",1.39988185263302e-20,0.309688806147272,0.193,0.58,2.83672058617555e-16,"0","Tmem59"
"Snu13",1.49684531647724e-20,0.357957080919781,0.162,0.509,3.03320734930948e-16,"0","Snu13"
"Pcbp1",1.53262878041812e-20,0.261125013901164,0.175,0.536,3.10571896063929e-16,"0","Pcbp1"
"Polr2e",1.72795635249232e-20,0.26665391283937,0.115,0.416,3.50153075269044e-16,"0","Polr2e"
"Cct4",2.50100770082153e-20,0.255512838377014,0.159,0.503,5.06804200494474e-16,"0","Cct4"
"Fkbp8",2.53330552370317e-20,0.257174289481982,0.11,0.405,5.1334903132321e-16,"0","Fkbp8"
"Cct5",3.62422903671065e-20,0.285165419102237,0.198,0.578,7.34413771999046e-16,"0","Cct5"
"Cct2",5.33048244001274e-20,0.352263304459145,0.18,0.544,1.08016896164418e-15,"0","Cct2"
"Cox6a1",6.37961599726576e-20,0.260677723289406,0.219,0.625,1.29276538568593e-15,"0","Cox6a1"
"Rdx",7.12945507536954e-20,0.347827880706107,0.144,0.469,1.44471277647288e-15,"0","Rdx"
"Arpc4",9.92396342453222e-20,0.28299547121781,0.157,0.491,2.01099194834721e-15,"0","Arpc4"
"Wfdc17",1.13131245118281e-19,1.74645767871889,0.478,0.329,2.29249155107686e-15,"0","Wfdc17"
"Anp32a",1.13602656400601e-19,0.331038275604851,0.232,0.64,2.30204422930177e-15,"0","Anp32a"
"Fcer1g",1.13676394839487e-19,1.00817341968721,0.744,0.55,2.30353846502736e-15,"0","Fcer1g"
"Aamp",2.23531578530611e-19,0.293116791638505,0.146,0.467,4.5296439073443e-15,"0","Aamp"
"Dpm3",2.60097549920744e-19,0.26807865631444,0.128,0.434,5.27061675159395e-15,"0","Dpm3"
"Gpi1",3.55137567019454e-19,0.34565626504906,0.193,0.56,7.19650765808222e-15,"0","Gpi1"
"Chmp2a",6.36335863024708e-19,0.339753254035152,0.185,0.543,1.28947099283327e-14,"0","Chmp2a"
"Drap1",7.72236537509221e-19,0.392931725982088,0.167,0.507,1.56486011960869e-14,"0","Drap1"
"Eif4b",9.42869959443063e-19,0.272267118419187,0.141,0.45,1.91063168581542e-14,"0","Eif4b"
"Aif1",1.15564779995646e-18,1.56901726369293,0.467,0.34,2.34180470183178e-14,"0","Aif1"
"H2afv",1.42134456816858e-18,0.367219044036761,0.178,0.521,2.88021263293681e-14,"0","H2afv"
"Psmb10",1.79074471650424e-18,0.279342810114801,0.191,0.547,3.6287650935242e-14,"0","Psmb10"
"Mrps14",1.89421647550634e-18,0.362869434349877,0.154,0.476,3.83844026596605e-14,"0","Mrps14"
"Nop10",1.97060963910134e-18,0.272833546843309,0.175,0.512,3.99324337267495e-14,"0","Nop10"
"Ndufb7",2.09123554321502e-18,0.26120901932564,0.235,0.641,4.23767970477091e-14,"0","Ndufb7"
"Rpn2",2.50377844492423e-18,0.265571774148038,0.115,0.399,5.07365664079446e-14,"0","Rpn2"
"Bin1",2.53495536883779e-18,0.280180608630589,0.112,0.393,5.13683355941291e-14,"0","Bin1"
"Tecr",2.58046366674979e-18,0.266322650209095,0.133,0.432,5.22905157430176e-14,"0","Tecr"
"Rnaseh2c",2.58828406134704e-18,0.260722881031774,0.149,0.464,5.24489882191364e-14,"0","Rnaseh2c"
"Bax",3.34590989439302e-18,0.306344251262682,0.18,0.523,6.78015180999801e-14,"0","Bax"
"Naa50",4.28418348193904e-18,0.274733601391403,0.107,0.379,8.68146940780126e-14,"0","Naa50"
"Mrpl30",4.31047361409314e-18,0.307675138444952,0.144,0.45,8.73474373159833e-14,"0","Mrpl30"
