"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cmss1",0,1.79166245877748,0.945,0.957,0,"0","Cmss1"
"Kmt2a",6.37922484507685e-286,0.283541422354989,0.111,0.647,1.29268612260637e-281,"0","Kmt2a"
"Gpbp1",1.44793067321762e-283,0.253608433043861,0.1,0.621,2.93408671620819e-279,"0","Gpbp1"
"Glg1",2.55265552528466e-283,0.252801030536545,0.137,0.704,5.17270115643684e-279,"0","Glg1"
"Mical3",2.05483919012316e-277,0.258187016837957,0.125,0.668,4.16392613486557e-273,"0","Mical3"
"Rbm26",4.17630973905533e-276,0.262694909157135,0.113,0.641,8.46287405522172e-272,"0","Rbm26"
"Rpn2",6.68529890525917e-271,0.25001420884958,0.115,0.636,1.35470897016172e-266,"0","Rpn2"
"Nisch",1.80824244323137e-269,0.354535509068557,0.153,0.727,3.66422248696406e-265,"0","Nisch"
"Ccnl2",2.03265091943371e-269,0.338295077996794,0.109,0.624,4.11896382314046e-265,"0","Ccnl2"
"Arid1a",8.69260584076005e-269,0.327655455488124,0.102,0.608,1.76146964757162e-264,"0","Arid1a"
"Arglu1",5.20853580288247e-267,0.283953395983353,0.146,0.7,1.0554576950961e-262,"0","Arglu1"
"Mbtd1",6.58979472921698e-266,0.284852303977394,0.131,0.668,1.33535600392853e-261,"0","Mbtd1"
"Fxr1",8.89627404000004e-266,0.259054378593585,0.116,0.632,1.80274097146561e-261,"0","Fxr1"
"Adnp",9.95121340683145e-266,0.259454432846256,0.087,0.57,2.01651388476032e-261,"0","Adnp"
"Pbrm1",5.53343141793138e-264,0.271531932230093,0.129,0.663,1.12129454252961e-259,"0","Pbrm1"
"Acin1",5.36669897927624e-263,0.289776779202362,0.164,0.739,1.08750788116054e-258,"0","Acin1"
"Tnrc18",7.46786879342499e-263,0.273737942210425,0.116,0.631,1.51328893229964e-258,"0","Tnrc18"
"Cux1",1.5295401619724e-262,0.289974383378497,0.135,0.674,3.09946018422088e-258,"0","Cux1"
