"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cyyr1",3.55538528807605e-143,1.70412776291199,0.94,0.141,7.20463274775731e-139,"0","Cyyr1"
"Flt1",6.09560268501612e-140,1.85516779073891,0.982,0.174,1.23521292809167e-135,"0","Flt1"
"Ly6c1",1.45109613524376e-137,1.45345379382351,0.88,0.093,2.94050120845796e-133,"0","Ly6c1"
"Zfp366",1.36275410742669e-136,1.17975163155023,0.741,0.039,2.76148492328945e-132,"0","Zfp366"
"Vwa1",4.1895278630258e-132,1.29647163430773,0.781,0.08,8.48965926163549e-128,"0","Vwa1"
"Clec14a",2.92972378963746e-129,1.14755552703339,0.785,0.083,5.93679228732136e-125,"0","Clec14a"
"Ctla2a",1.70931326135074e-128,1.92297420624527,0.947,0.209,3.46375239280115e-124,"0","Ctla2a"
"Pcdh17",1.86072733247326e-128,1.52694967779124,0.924,0.175,3.77057786652382e-124,"0","Pcdh17"
"Fam167b",2.63056797151223e-128,1.33831642305557,0.785,0.066,5.33058293747239e-124,"0","Fam167b"
"Mndal",5.08020822248601e-128,1.20587402232157,0.751,0.07,1.02945339420457e-123,"0","Mndal"
"Igfbp7",1.40426900437973e-126,2.13230814648357,0.988,0.496,2.84561071047508e-122,"0","Igfbp7"
"Abcb1a",2.66322978654021e-126,1.1745479156334,0.822,0.093,5.39676883944508e-122,"0","Abcb1a"
"Mfng",2.69499874134458e-126,0.858940923662961,0.707,0.044,5.46114544946066e-122,"0","Mfng"
"Sox17",3.6940786713619e-124,1.07412999611831,0.656,0.028,7.48568101964775e-120,"0","Sox17"
"Lcp1",5.78231849242483e-123,0.865042857434974,0.663,0.033,1.17172901930497e-118,"0","Lcp1"
"Nrp1",2.94009291775417e-122,1.2815181152559,0.924,0.147,5.95780428853704e-118,"0","Nrp1"
"Mecom",2.45889287640583e-121,1.47642313093435,0.804,0.088,4.98270052474878e-117,"0","Mecom"
"Mef2c",1.24230270728414e-119,1.47503491280324,0.965,0.249,2.51740220604057e-115,"0","Mef2c"
"Ifi203",1.64335279818133e-118,0.896144977095006,0.677,0.048,3.33009011023465e-114,"0","Ifi203"
"Ebf1",2.96302029563539e-116,1.5544059400158,0.933,0.201,6.00426432707555e-112,"0","Ebf1"
"Gask1b",8.65410158233583e-116,0.910054140719602,0.723,0.074,1.75366714464453e-111,"0","Gask1b"
"Cdh5",6.46480412691976e-115,1.53508513303446,0.961,0.225,1.31002790827902e-110,"0","Cdh5"
"Nostrin",1.20733465837065e-114,0.995582856461915,0.707,0.059,2.44654295172228e-110,"0","Nostrin"
"Gimap1",1.67316543432746e-114,0.789354663124064,0.813,0.112,3.39050243612117e-110,"0","Gimap1"
"BC028528",2.16499177845094e-114,0.97653020217249,0.697,0.083,4.38713933985298e-110,"0","BC028528"
"Lrrc8c",1.47835674373457e-112,0.980759358940221,0.771,0.15,2.99574210550374e-108,"0","Lrrc8c"
"Fam171a1",2.05260161517139e-112,0.909833861868098,0.82,0.147,4.1593919129833e-108,"0","Fam171a1"
"Rasip1",6.16734150435088e-112,0.875921517122694,0.875,0.171,1.24975008244166e-107,"0","Rasip1"
"Efhd1",2.83490100613443e-111,0.884018223242366,0.614,0.031,5.74464339883081e-107,"0","Efhd1"
"Erg",3.93977380839343e-111,0.903012177114707,0.843,0.136,7.98355764532844e-107,"0","Erg"
"Dnm3",4.18596285826809e-111,1.32748922613151,0.882,0.184,8.48243513599446e-107,"0","Dnm3"
"Arhgap31",7.63448380687651e-111,1.45445861753224,0.963,0.302,1.54705179862546e-106,"0","Arhgap31"
"Srgn",1.13257102655803e-110,1.18061778119499,0.845,0.147,2.29504192821719e-106,"0","Srgn"
"Fxyd5",3.08536978964803e-110,1.03291571656117,0.792,0.126,6.25219334174276e-106,"0","Fxyd5"
"Mmrn2",4.21691323627266e-109,0.82804156612563,0.815,0.139,8.54515298198291e-105,"0","Mmrn2"
"Stk10",8.51112483014459e-109,0.851114378963296,0.711,0.103,1.7246943355805e-104,"0","Stk10"
"Eml1",2.05342218572281e-108,0.956810227926008,0.665,0.075,4.1610547171487e-104,"0","Eml1"
"Nova2",3.0845119825123e-108,0.936655246095097,0.748,0.098,6.25045508136293e-104,"0","Nova2"
"Abcc4",3.58513750504088e-108,0.672835329419589,0.714,0.081,7.26492264021485e-104,"0","Abcc4"
"Ramp2",4.64824135567055e-108,1.37790602872393,0.952,0.267,9.41919628313081e-104,"0","Ramp2"
"Emcn",2.90801346989843e-107,1.45793818907593,0.938,0.229,5.89279849540219e-103,"0","Emcn"
"Prkch",3.66067757248229e-107,1.3025458486608,0.921,0.258,7.41799703287811e-103,"0","Prkch"
"Fmnl3",1.04372234933846e-106,0.731195898867165,0.734,0.112,2.11499896869946e-102,"0","Fmnl3"
"Tmem88",1.9669165005063e-106,0.825130713193605,0.792,0.155,3.98575959662596e-102,"0","Tmem88"
"Hecw2",1.7902039714998e-105,0.828300348674698,0.658,0.064,3.6276693278472e-101,"0","Hecw2"
"Myct1",1.8386295007425e-105,0.958025464669275,0.841,0.148,3.72579882030459e-101,"0","Myct1"
"Rapgef4",2.11041504799071e-105,0.935338516692736,0.734,0.087,4.27654505324839e-101,"0","Rapgef4"
"Esam",3.93477626182615e-105,1.30860562566483,0.94,0.377,7.97343061696451e-101,"0","Esam"
"Adgre5",6.43808914200974e-105,1.1210720738741,0.716,0.114,1.30461438373685e-100,"0","Adgre5"
"Adgrl4",7.15247411300393e-105,1.02098497522511,0.811,0.135,1.44937735425912e-100,"0","Adgrl4"
"Eng",1.06557469814457e-104,1.29661186949506,0.952,0.234,2.15928056832016e-100,"0","Eng"
"Rbp1",1.09529232112479e-104,1.55227774845529,0.866,0.18,2.21950035952727e-100,"0","Rbp1"
"Entpd1",4.47528808665624e-104,0.966889638665433,0.637,0.052,9.0687237788002e-100,"0","Entpd1"
